Company Name,Mcap,EPS *,P/E
20 Microns,215.78,5.6,10.77
3i Infotech,1600.49,2.01,4.93
3M India,27534.2,132.36,183.96
5paisa Capita,1097.41,6.77,61.57
A F Ent,17.08,0.82,21.89
A Infra.,112.8,0.9,30
A.K.Capital Ser,288.35,32.59,13.2
Aarey Drugs,78.1,2.56,12.97
Aarnav Fashions,109.39,2.06,35.12
Aarti Drugs,6598.09,27.65,25.59
Aarti Ind,30196.58,14.74,59.13
Aarti Surfactan,1089.09,28.53,50.29
AAVAS Financier,20893.05,36.87,72.96
AB Capital,28224.43,0.3,390.5
AB Money,314.16,2.8,19.84
ABans Enterpris,178.56,1.01,125.99
ABB India,38392.5,13.96,129.37
Abbott India,35713.17,325.04,51.67
ABC India,44.04,1.68,47.92
Abhinav Leasing,5.15,0.04,25.75
Abirami Finance,2.64,0.07,62.86
ABM Knowledg,240.93,9.8,12.3
ACC,37858.85,87.99,22.91
Accelya Kale,1729.13,19.29,60.39
Acknit Industri,41.8,17.2,7.82
Action Const,2560.75,7.06,31.96
Ad Manum Fin,16.2,2.5,8.64
Adani Enterpris,165620.4,3.35,450.27
Adani Green Ene,174684.75,2.34,477.31
Adani Ports,143657.65,9.44,74.53
ADC India Comm,122.68,7.88,32.54
ADF Foods,1815.06,18.32,49.42
Adinath Exim,6,1.11,12.52
ADINATH TEXTILE,3.67,0.46,11.7
Ador Fontech,210.18,3.63,16.54
Ador Multi,40.89,10.86,7.86
Advanced Enzyme,4644.39,6.35,65.28
Advik Capital,14.63,0.01,319
Aegis Logistics,12125.3,4.44,77.21
Affle India,11558.73,10.59,409.56
AFL,1570.68,3.89,7.72
Agarwal Ind,400.42,18.19,18.55
AGC Networks,3487.74,1.76,619.32
AGI Infra,120.95,13.42,7.3
Agro Tech Foods,2302.9,12.43,75.85
Ahluwalia,2758.21,11.53,35.71
AIA Engineering,20225.59,51.41,41.62
Aimco Pesticide,111.16,2.37,48.84
Ajanta Pharma,18518.66,78.08,27.49
Ajanta Soya,191.55,15.62,7.51
Ajcon Global,15.54,2.53,9.98
Ajmera Realty,967.32,6.66,40.93
Aksh Optifibre,147.73,0.14,64.86
AksharChem,279.67,15.24,22.37
Akzo Nobel,10584.02,45.59,51.59
Alankit,376.69,0.86,30.76
Albert David,280.25,38.8,12.62
Alembic,3263.7,0.52,242.79
Alembic Pharma,19366.38,59.8,16.45
Alexander Stamp,22.64,0.05,524
Alfa ICA,12.87,2.95,10.8
Alfred Herbert,55.54,21.33,33.76
Alkem Lab,38469.44,140.93,22.68
Alkyl Amines,18502.7,57.84,62.22
Allcargo,3923.76,7.79,20.5
Allied Digital,319.7,1.53,41.44
ALLSEC Tech,592.01,10.48,36.98
Almondz Global,144.05,0.83,67.05
Alpa Labs,120.56,3.58,15.7
Alphageo,193.17,11.68,25.89
Alpine Hsg,30.14,1.42,12.25
Amal,381.62,9.38,42.77
Amara Raja Batt,12723.82,37.87,19.67
Amarjothi Spin,115.09,18.03,9.55
Amba Enterprise,30.76,1.71,14.21
Amber Enterpris,9835.2,15.3,191.24
Ambika Cotton,676.7,118.69,9.97
