Index,Scrip,Industry,Cont%
BSE 100,ACC,Cement,-0.33
BSE 100,Adani Enterpris,Trading,-0.26
BSE 100,Adani Ports,Transport Infrastructure,-0.13
BSE 100,Ambuja Cements,Cement,-1.51
BSE 100,Apollo Hospital,Hospital & Healthcare Services,0.35
BSE 100,Ashok Leyland,Automobile - Trucks/LCVs,2.67
BSE 100,Asian Paints,Paints,-2.68
BSE 100,AU Small Financ,Bank - Private,1.46
BSE 100,Aurobindo Pharm,Pharmaceuticals & Drugs,0.13
BSE 100,Avenue Supermar,Retailing,1.12
BSE 100,Axis Bank,Bank - Private,0.07
BSE 100,Bajaj Auto,Automobile - 2 & 3 Wheelers,-1.85
BSE 100,Bajaj Finance,Finance - NBFC,2.26
BSE 100,Bajaj Finserv,Finance - Investment,1.56
BSE 100,Bajaj Holdings,Finance - NBFC,2.59
BSE 100,Bandhan Bank,Bank - Private,0.32
BSE 100,Berger Paints,Paints,-0.85
BSE 100,Bharat Forge,Metals - Castings/Forgings,-0.71
BSE 100,Bharti Airtel,Telecommunication - Service Provider,0.61
BSE 100,Biocon,Biotechnology & Medical Research,0.92
BSE 100,BPCL,Refineries,-0.8
BSE 100,Britannia,Consumer Food,-0.59
BSE 100,CG Consumer,Domestic Appliances,2.49
BSE 100,Chola Invest.,Finance Term Lending,-0.96
BSE 100,Cipla,Pharmaceuticals & Drugs,-0.28
BSE 100,Coal India,Coal,-0.35
BSE 100,Colgate,Household & Personal Products,-0.35
BSE 100,Container Corp,Ground Freight & Logistics Services,-0.05
BSE 100,Dabur India,Household & Personal Products,-0.43
BSE 100,Divis Labs,Pharmaceuticals & Drugs,-0.19
BSE 100,DLF,Construction - Residential & Commercial Complexes,0.17
BSE 100,Dr Reddys Labs,Pharmaceuticals & Drugs,1.1
BSE 100,Eicher Motors,Automobile - LCVS/ HVCS,-1.87
BSE 100,Federal Bank,Bank - Private,3.81
BSE 100,GAIL,Gas Distribution,0.22
BSE 100,Godrej Consumer,Household & Personal Products,-0.44
