Name,CURRENT VALUE
BSE 100,17909.13
BSE 100 LargeCap TMC,6477.01
BSE 150 MIDCAP,8924.26
BSE 200,7642.35
BSE 250 LARGEMIDCAP,7242.68
BSE 250 SMALLCAP,3944.24
BSE 400 MIDSMALLCAP,6790.67
BSE 500,24072.41
BSE ALLCAP,6908.59
BSE Auto,25417.83
BSE BANKEX,42630.51
BSE Basic Material,5580.99
BSE BHARAT 22,3982.84
BSE CAP GOODS,28070.84
BSE CDGS,5846.72
BSE Cons Durables,43442.5
BSE Energy,7885.02
BSE Finance,8493.15
BSE FMCG,13996.67
BSE HEALTHCARE,25328.15
BSE INDIA INFRA,278.89
BSE INDIA MANUFACTUR,644.96
BSE IPO,13650.45
BSE IT,34448.51
BSE LARGECAP,6775.28
BSE Metal,19762.12
BSE MIDCAP,25675.41
BSE MIDCAP SELECT,10535.54
BSE Oil & Gas,18472.21
BSE POWER,3641.97
BSE PRIVATE BANK,14224.62
BSE PSU,8592
BSE REALTY,4114.5
BSE SENSEX 50,18377.71
BSE SENSEX NEXT 50,49842.98
BSE SMALLCAP,28822.75
BSE SMALLCAP SELECT,5018.53
BSE SME IPO,9878.79
BSE TECk,15492.44
BSE Telecom,1905.01
BSE Utilities,3142.39
India VIX,16.66
NIFTY 100,17861.65
Nifty 200,9348
NIFTY 50,17536.25
NIFTY 500,15150.6
NIFTY AlphaLowVol 30,17124.4
NIFTY AUTO,11247.75
NIFTY BANK,37364.75
NIFTY COMMODITIES,5747.95
Nifty Consr Durbl,28642.4
NIFTY CONSUMPTION,7228.05
NIFTY ENERGY,24218.25
NIFTY FIN SERVICE,18264.45
Nifty FinSrv25/50,18186.7
NIFTY FMCG,38259.75
Nifty Healthcare,8703.4
NIFTY INFRA,5200.1
NIFTY IT,35300.25
Nifty LargeMid250,9905.35
NIFTY MEDIA,2311.65
NIFTY METAL,5624
NIFTY Midcap 100,30926.6
NIFTY MIDCAP 150,11600.75
NIFTY MIDCAP 50,8630.5
NIFTY MIDSML 400,10905.5
NIFTY MNC,19206.6
NIFTY NEXT 50,43588.7
Nifty OilGas,7748.75
NIFTY PHARMA,13566.5
NIFTY PSE,4017.4
NIFTY PSU BANK,2744.25
Nifty Pvt Bank,19119.8
NIFTY REALTY,525.7
NIFTY SERV SECTOR,24724.55
NIFTY Smallcap 100,11091.75
NIFTY SMLCAP 250,9670.2
NIFTY SMLCAP 50,5289
Nifty200 Momentum 30,21078.35
Nifty500 Mul50:25:25,9925.8
S&P BSE Industrials,5679.6
SENSEX,58795.09
Nifty 50 Equal Weight,19564.75
NIFTY DIV OPPS 50,3690.75
Gold,49185
 ,
 ,
