FUND CODE,PERCENT,SCRIP,CATEGORY,INDUSTRY
INF879O01209,2.57,Power Grid Corporation of India Ltd.,Equity,Power
INF879O01209,2.47,Petronet LNG Ltd.,Equity,Gas
INF879O01209,2.46,ITC Ltd.,Equity,Consumer Non Durables
INF879O01209,2.45,Bajaj Auto Ltd.,Equity,Auto
INF879O01209,2.44,Coal India Ltd.,Equity,Minerals/Mining
INF879O01209,3.99,Brookfield India Real Estate Trust,Equity,Construction
INF879O01209,2.71,Embassy Office Parks Reit,Equity,Construction
INF879O01209,2.43,Mindspace Business Parks Reit,Equity,Construction
INF879O01209,0.84,India Grid Trust,Equity,CRISIL AAA
INF879O01209,1.66,SOV,SOV,SOV
INF879O01209,4.49,SOV,SOV,SOV
INF879O01209,4.45,SOV,SOV,SOV
INF879O01209,4.44,SOV,SOV,SOV
INF879O01209,4.25,SOV,SOV,SOV
INF879O01209,3.54,SOV,SOV,SOV
INF879O01209,2.73,SOV,SOV,SOV
INF879O01209,2.71,SOV,SOV,SOV
INF879O01209,2.7,SOV,SOV,SOV
INF879O01209,1.83,SOV,SOV,SOV
INF879O01209,1.83,SOV,SOV,SOV
INF879O01209,1.8,SOV,SOV,SOV
INF879O01209,1.8,SOV,SOV,SOV
INF879O01209,1.8,SOV,SOV,SOV
INF879O01209,1.78,SOV,SOV,SOV
INF879O01209,1.7,SOV,SOV,SOV
INF879O01209,0.92,SOV,SOV,SOV
INF879O01209,0.92,SOV,SOV,SOV
INF879O01209,0.92,SOV,SOV,SOV
INF879O01209,0.91,SOV,SOV,SOV
INF879O01209,0.91,SOV,SOV,SOV
INF879O01209,0.91,SOV,SOV,SOV
INF879O01209,0.91,SOV,SOV,SOV
INF879O01209,0.91,SOV,SOV,SOV
INF879O01209,0.91,SOV,SOV,SOV
INF879O01209,0.91,SOV,SOV,SOV
INF879O01209,0.91,SOV,SOV,SOV
INF879O01209,0.91,SOV,SOV,SOV
INF879O01209,0.91,SOV,SOV,SOV
INF879O01209,0.9,SOV,SOV,SOV
INF879O01209,0.9,SOV,SOV,SOV
INF879O01209,0.9,SOV,SOV,SOV
INF879O01209,0.9,SOV,SOV,SOV
INF879O01209,0.9,SOV,SOV,SOV
INF879O01209,0.9,SOV,SOV,SOV
INF879O01209,0.9,SOV,SOV,SOV
INF879O01209,0.9,SOV,SOV,SOV
INF879O01209,0.9,SOV,SOV,SOV
INF879O01209,0.89,SOV,SOV,SOV
INF879O01209,0.89,SOV,SOV,SOV
INF879O01209,0.89,SOV,SOV,SOV
INF879O01209,0.89,SOV,SOV,SOV
INF879O01209,0.88,SOV,SOV,SOV
INF879O01209,0.86,SOV,SOV,SOV
INF879O01209,0.86,SOV,SOV,SOV
INF879O01209,0.86,SOV,SOV,SOV
INF879O01209,0.85,SOV,SOV,SOV
INF879O01209,0.85,SOV,SOV,SOV
INF879O01209,0.85,SOV,SOV,SOV
INF879O01209,0.84,SOV,SOV,SOV
INF879O01209,0.83,SOV,SOV,SOV
INF879O01209,0.25,Cash,Cash,Cash
INF879O01209,0.17,Cash,Cash,Cash
INF879O01209,0.17,Cash,Cash,Cash
INF879O01209,0.17,Cash,Cash,Cash
INF879O01209,1.45,Cash,Cash,Cash
INF879O01209,0.72,Cash,Cash,Cash
INF879O01209,0.72,Cash,Cash,Cash
INF879O01019,8.31,Bajaj Holdings & Investment Ltd.,Equity,Finance
INF879O01019,6.97,ITC Ltd.,Equity,Consumer Non Durables
INF879O01019,6,Indian Energy Exchange Ltd.,Equity,Capital Markets
INF879O01019,4.98,HCL Technologies Ltd.,Equity,Software
INF879O01019,4.74,ICICI Bank Ltd.,Equity,Banks
INF879O01019,4.69,Hero MotoCorp Ltd.,Equity,Auto
INF879O01019,4.55,Axis Bank Ltd.,Equity,Banks
INF879O01019,3.85,Power Grid Corporation of India Ltd.,Equity,Power
INF879O01019,3.81,Central Depository Services (I) Ltd.,Equity,Capital Markets
INF879O01019,2.62,HDFC Bank Ltd.,Equity,Banks
INF879O01019,2.18,Multi Commodity Exchange of India Ltd.,Equity,Capital Markets
INF879O01019,2.15,Persistent Systems Ltd.,Equity,Software
INF879O01019,1.82,Mphasis Ltd.,Equity,Software
INF879O01019,1.46,Balkrishna Industries Ltd.,Equity,Auto Ancillaries
INF879O01019,1.2,Motilal Oswal Financial Services Ltd.,Equity,Capital Markets
INF879O01019,1.01,IPCA Laboratories Ltd.,Equity,Pharmaceuticals
INF879O01019,0.97,Oracle Financial Services Software Ltd.,Equity,Software
INF879O01019,0.96,Dr. Reddy's Laboratories Ltd.,Equity,Pharmaceuticals
INF879O01019,0.92,Sun Pharmaceutical Industries Ltd.,Equity,Pharmaceuticals
INF879O01019,0.91,Cadila Healthcare Ltd.,Equity,Pharmaceuticals
INF879O01019,0.83,ICRA Ltd.,Equity,Capital Markets
INF879O01019,0.44,Lupin Ltd.,Equity,Pharmaceuticals
INF879O01019,0.98,Suzuki Motor Corporation *,Foreign Equity,Auto #
INF879O01019,8.59,Alphabet Inc.,Foreign Equity,Internet and Technology #
INF879O01019,7.65,Microsoft Corporation,Foreign Equity,Internet and Technology #
INF879O01019,7.08,Amazon.Com Inc,Foreign Equity,Consumer Services #
INF879O01019,6.05,Meta Platforms,Foreign Equity,Internet and Technology #
INF879O01019,0.03,Cash,Cash,Cash
INF879O01019,0.03,Cash,Cash,Cash
INF879O01019,0.03,Cash,Cash,Cash
